indian_states,x,y
Andhra Pradesh,-54.0,-125.0
Arunachal Pradesh,199.0,108.0
Assam,167.0,60.0
Bihar,50.0,56.0
Chhattisgarh,-1.0,-2.0
Goa,-137.0,-128.0
Gujarat,-176.0,11.0
Haryana,-101.0,119.0
Himachal Pradesh,-83.0,175.0
Jharkhand,27.0,20.0
Karnataka,-115.0,-139.0
Kerala,-102.0,-193.0
Madhya Pradesh,-64.0,10.0
Maharashtra,-121.0,-47.0
Manipur,188.0,37.0
Meghalaya,135.0,48.0
Mizoram,168.0,7.0
Nagaland,198.0,62.0
Odisha,28.0,-31.0
Punjab,-111.0,149.0
Rajasthan,-153.0,75.0
Sikkim,98.0,87.0
Tamil Nadu,-69.0,-189.0
Telangana,-57.0,-81.0
Tripura,148.0,20.0
Uttar Pradesh,-30.0,77.0
Uttarakhand,-51.0,138.0
West Bengal,85.0,17.0
